#the number of samples
100
#lower bound
 1.0000000e+02	 6.0000000e+01	
#upper bound
 2.0000000e+02	 1.2000000e+02	
1	 1.0000000e+02	 1.2000000e+02	
2	 2.0000000e+02	 6.0000000e+01	
3	 2.0000000e+02	 1.2000000e+02	
4	 1.0000000e+02	 6.0000000e+01	
5	 1.5000000e+02	 9.0000000e+01	
6	 1.2500000e+02	 1.0500000e+02	
7	 1.7500000e+02	 7.5000000e+01	
8	 1.1250000e+02	 9.7500000e+01	
9	 1.6250000e+02	 6.7500000e+01	
10	 1.3750000e+02	 8.2500000e+01	
11	 1.8750000e+02	 1.1250000e+02	
12	 1.0625000e+02	 1.1625000e+02	
13	 1.5625000e+02	 8.6250000e+01	
14	 1.3125000e+02	 7.1250000e+01	
15	 1.8125000e+02	 1.0125000e+02	
16	 1.1875000e+02	 7.8750000e+01	
17	 1.6875000e+02	 1.0875000e+02	
18	 1.4375000e+02	 9.3750000e+01	
19	 1.9375000e+02	 6.3750000e+01	
20	 1.0312500e+02	 9.1875000e+01	
21	 1.5312500e+02	 6.1875000e+01	
22	 1.2812500e+02	 7.6875000e+01	
23	 1.7812500e+02	 1.0687500e+02	
24	 1.1562500e+02	 6.9375000e+01	
25	 1.6562500e+02	 9.9375000e+01	
26	 1.4062500e+02	 1.1437500e+02	
27	 1.9062500e+02	 8.4375000e+01	
28	 1.0937500e+02	 8.8125000e+01	
29	 1.5937500e+02	 1.1812500e+02	
30	 1.3437500e+02	 1.0312500e+02	
31	 1.8437500e+02	 7.3125000e+01	
32	 1.2187500e+02	 1.1062500e+02	
33	 1.7187500e+02	 8.0625000e+01	
34	 1.4687500e+02	 6.5625000e+01	
35	 1.9687500e+02	 9.5625000e+01	
36	 1.0156250e+02	 1.0781250e+02	
37	 1.5156250e+02	 7.7812500e+01	
38	 1.2656250e+02	 6.2812500e+01	
39	 1.7656250e+02	 9.2812500e+01	
40	 1.1406250e+02	 8.5312500e+01	
41	 1.6406250e+02	 1.1531250e+02	
42	 1.3906250e+02	 1.0031250e+02	
43	 1.8906250e+02	 7.0312500e+01	
44	 1.0781250e+02	 7.4062500e+01	
45	 1.5781250e+02	 1.0406250e+02	
46	 1.3281250e+02	 1.1906250e+02	
47	 1.8281250e+02	 8.9062500e+01	
48	 1.2031250e+02	 9.6562500e+01	
49	 1.7031250e+02	 6.6562500e+01	
50	 1.4531250e+02	 8.1562500e+01	
51	 1.9531250e+02	 1.1156250e+02	
52	 1.0468750e+02	 7.5937500e+01	
53	 1.5468750e+02	 1.0593750e+02	
54	 1.2968750e+02	 9.0937500e+01	
55	 1.7968750e+02	 6.0937500e+01	
56	 1.1718750e+02	 1.1343750e+02	
57	 1.6718750e+02	 8.3437500e+01	
58	 1.4218750e+02	 6.8437500e+01	
59	 1.9218750e+02	 9.8437500e+01	
60	 1.1093750e+02	 1.0218750e+02	
61	 1.6093750e+02	 7.2187500e+01	
62	 1.3593750e+02	 8.7187500e+01	
63	 1.8593750e+02	 1.1718750e+02	
64	 1.2343750e+02	 6.4687500e+01	
65	 1.7343750e+02	 9.4687500e+01	
66	 1.4843750e+02	 1.0968750e+02	
67	 1.9843750e+02	 7.9687500e+01	
68	 1.0078125e+02	 9.9843750e+01	
69	 1.5078125e+02	 6.9843750e+01	
70	 1.2578125e+02	 8.4843750e+01	
71	 1.7578125e+02	 1.1484375e+02	
72	 1.1328125e+02	 6.2343750e+01	
73	 1.6328125e+02	 9.2343750e+01	
74	 1.3828125e+02	 1.0734375e+02	
75	 1.8828125e+02	 7.7343750e+01	
76	 1.0703125e+02	 8.1093750e+01	
77	 1.5703125e+02	 1.1109375e+02	
78	 1.3203125e+02	 9.6093750e+01	
79	 1.8203125e+02	 6.6093750e+01	
80	 1.1953125e+02	 1.1859375e+02	
81	 1.6953125e+02	 8.8593750e+01	
82	 1.4453125e+02	 7.3593750e+01	
83	 1.9453125e+02	 1.0359375e+02	
84	 1.0390625e+02	 6.7968750e+01	
85	 1.5390625e+02	 9.7968750e+01	
86	 1.2890625e+02	 1.1296875e+02	
87	 1.7890625e+02	 8.2968750e+01	
88	 1.1640625e+02	 9.0468750e+01	
89	 1.6640625e+02	 6.0468750e+01	
90	 1.4140625e+02	 7.5468750e+01	
91	 1.9140625e+02	 1.0546875e+02	
92	 1.1015625e+02	 1.0921875e+02	
93	 1.6015625e+02	 7.9218750e+01	
94	 1.3515625e+02	 6.4218750e+01	
95	 1.8515625e+02	 9.4218750e+01	
96	 1.2265625e+02	 8.6718750e+01	
97	 1.7265625e+02	 1.1671875e+02	
98	 1.4765625e+02	 1.0171875e+02	
99	 1.9765625e+02	 7.1718750e+01	
100	 1.0234375e+02	 8.3906250e+01	
