#the number of samples
200
#lower bound
 5.0000000e+05	 7.0000000e-01	 6.0000000e+01	
#upper bound
 5.0000100e+05	 7.1000000e-01	 9.0000000e+01	
1	 5.0000000e+05	 7.0000000e-01	 9.0000000e+01	
2	 5.0000000e+05	 7.1000000e-01	 6.0000000e+01	
3	 5.0000000e+05	 7.1000000e-01	 9.0000000e+01	
4	 5.0000100e+05	 7.0000000e-01	 6.0000000e+01	
5	 5.0000100e+05	 7.0000000e-01	 9.0000000e+01	
6	 5.0000100e+05	 7.1000000e-01	 6.0000000e+01	
7	 5.0000100e+05	 7.1000000e-01	 9.0000000e+01	
8	 5.0000000e+05	 7.0000000e-01	 6.0000000e+01	
9	 5.0000050e+05	 7.0500000e-01	 7.5000000e+01	
10	 5.0000025e+05	 7.0750000e-01	 6.7500000e+01	
11	 5.0000075e+05	 7.0250000e-01	 8.2500000e+01	
12	 5.0000012e+05	 7.0625000e-01	 8.6250000e+01	
13	 5.0000062e+05	 7.0125000e-01	 7.1250000e+01	
14	 5.0000038e+05	 7.0375000e-01	 7.8750000e+01	
15	 5.0000088e+05	 7.0875000e-01	 6.3750000e+01	
16	 5.0000006e+05	 7.0937500e-01	 8.0625000e+01	
17	 5.0000056e+05	 7.0437500e-01	 6.5625000e+01	
18	 5.0000031e+05	 7.0187500e-01	 8.8125000e+01	
19	 5.0000081e+05	 7.0687500e-01	 7.3125000e+01	
20	 5.0000019e+05	 7.0312500e-01	 6.9375000e+01	
21	 5.0000069e+05	 7.0812500e-01	 8.4375000e+01	
22	 5.0000044e+05	 7.0562500e-01	 6.1875000e+01	
23	 5.0000094e+05	 7.0062500e-01	 7.6875000e+01	
24	 5.0000003e+05	 7.0531250e-01	 7.2187500e+01	
25	 5.0000053e+05	 7.0031250e-01	 8.7187500e+01	
26	 5.0000028e+05	 7.0281250e-01	 6.4687500e+01	
27	 5.0000078e+05	 7.0781250e-01	 7.9687500e+01	
28	 5.0000016e+05	 7.0156250e-01	 7.5937500e+01	
29	 5.0000066e+05	 7.0656250e-01	 6.0937500e+01	
30	 5.0000041e+05	 7.0906250e-01	 8.3437500e+01	
31	 5.0000091e+05	 7.0406250e-01	 6.8437500e+01	
32	 5.0000009e+05	 7.0468750e-01	 8.5312500e+01	
33	 5.0000059e+05	 7.0968750e-01	 7.0312500e+01	
34	 5.0000034e+05	 7.0718750e-01	 7.7812500e+01	
35	 5.0000084e+05	 7.0218750e-01	 6.2812500e+01	
36	 5.0000022e+05	 7.0843750e-01	 6.6562500e+01	
37	 5.0000072e+05	 7.0343750e-01	 8.1562500e+01	
38	 5.0000047e+05	 7.0093750e-01	 7.4062500e+01	
39	 5.0000097e+05	 7.0593750e-01	 8.9062500e+01	
40	 5.0000002e+05	 7.0796875e-01	 8.8593750e+01	
41	 5.0000052e+05	 7.0296875e-01	 7.3593750e+01	
42	 5.0000027e+05	 7.0046875e-01	 8.1093750e+01	
43	 5.0000077e+05	 7.0546875e-01	 6.6093750e+01	
44	 5.0000014e+05	 7.0421875e-01	 6.2343750e+01	
45	 5.0000064e+05	 7.0921875e-01	 7.7343750e+01	
46	 5.0000039e+05	 7.0671875e-01	 6.9843750e+01	
47	 5.0000089e+05	 7.0171875e-01	 8.4843750e+01	
48	 5.0000008e+05	 7.0234375e-01	 6.7968750e+01	
49	 5.0000058e+05	 7.0734375e-01	 8.2968750e+01	
50	 5.0000033e+05	 7.0984375e-01	 6.0468750e+01	
51	 5.0000083e+05	 7.0484375e-01	 7.5468750e+01	
52	 5.0000020e+05	 7.0609375e-01	 7.9218750e+01	
53	 5.0000070e+05	 7.0109375e-01	 6.4218750e+01	
54	 5.0000045e+05	 7.0359375e-01	 8.6718750e+01	
55	 5.0000095e+05	 7.0859375e-01	 7.1718750e+01	
56	 5.0000005e+05	 7.0265625e-01	 7.8281250e+01	
57	 5.0000055e+05	 7.0765625e-01	 6.3281250e+01	
58	 5.0000030e+05	 7.0515625e-01	 8.5781250e+01	
59	 5.0000080e+05	 7.0015625e-01	 7.0781250e+01	
60	 5.0000017e+05	 7.0890625e-01	 7.4531250e+01	
61	 5.0000067e+05	 7.0390625e-01	 8.9531250e+01	
62	 5.0000042e+05	 7.0140625e-01	 6.7031250e+01	
63	 5.0000092e+05	 7.0640625e-01	 8.2031250e+01	
64	 5.0000011e+05	 7.0703125e-01	 6.5156250e+01	
65	 5.0000061e+05	 7.0203125e-01	 8.0156250e+01	
66	 5.0000036e+05	 7.0453125e-01	 7.2656250e+01	
67	 5.0000086e+05	 7.0953125e-01	 8.7656250e+01	
68	 5.0000023e+05	 7.0078125e-01	 8.3906250e+01	
69	 5.0000073e+05	 7.0578125e-01	 6.8906250e+01	
70	 5.0000048e+05	 7.0828125e-01	 7.6406250e+01	
71	 5.0000098e+05	 7.0328125e-01	 6.1406250e+01	
72	 5.0000001e+05	 7.0664062e-01	 7.5703125e+01	
73	 5.0000051e+05	 7.0164062e-01	 6.0703125e+01	
74	 5.0000026e+05	 7.0414062e-01	 8.3203125e+01	
75	 5.0000076e+05	 7.0914062e-01	 6.8203125e+01	
76	 5.0000013e+05	 7.0039062e-01	 7.1953125e+01	
77	 5.0000063e+05	 7.0539062e-01	 8.6953125e+01	
78	 5.0000038e+05	 7.0789062e-01	 6.4453125e+01	
79	 5.0000088e+05	 7.0289062e-01	 7.9453125e+01	
80	 5.0000007e+05	 7.0351562e-01	 6.6328125e+01	
81	 5.0000057e+05	 7.0851562e-01	 8.1328125e+01	
82	 5.0000032e+05	 7.0601562e-01	 7.3828125e+01	
83	 5.0000082e+05	 7.0101562e-01	 8.8828125e+01	
84	 5.0000020e+05	 7.0976562e-01	 8.5078125e+01	
85	 5.0000070e+05	 7.0476562e-01	 7.0078125e+01	
86	 5.0000045e+05	 7.0226563e-01	 7.7578125e+01	
87	 5.0000095e+05	 7.0726563e-01	 6.2578125e+01	
88	 5.0000004e+05	 7.0132812e-01	 8.7890625e+01	
89	 5.0000054e+05	 7.0632812e-01	 7.2890625e+01	
90	 5.0000029e+05	 7.0882812e-01	 8.0390625e+01	
91	 5.0000079e+05	 7.0382812e-01	 6.5390625e+01	
92	 5.0000016e+05	 7.0507812e-01	 6.1640625e+01	
93	 5.0000066e+05	 7.0007812e-01	 7.6640625e+01	
94	 5.0000041e+05	 7.0257812e-01	 6.9140625e+01	
95	 5.0000091e+05	 7.0757812e-01	 8.4140625e+01	
96	 5.0000010e+05	 7.0820312e-01	 7.1015625e+01	
97	 5.0000060e+05	 7.0320312e-01	 8.6015625e+01	
98	 5.0000035e+05	 7.0070312e-01	 6.3515625e+01	
99	 5.0000085e+05	 7.0570312e-01	 7.8515625e+01	
100	 5.0000023e+05	 7.0445313e-01	 8.2265625e+01	
101	 5.0000073e+05	 7.0945313e-01	 6.7265625e+01	
102	 5.0000048e+05	 7.0695312e-01	 8.9765625e+01	
103	 5.0000098e+05	 7.0195312e-01	 7.4765625e+01	
104	 5.0000002e+05	 7.0398437e-01	 7.3359375e+01	
105	 5.0000052e+05	 7.0898438e-01	 8.8359375e+01	
106	 5.0000027e+05	 7.0648437e-01	 6.5859375e+01	
107	 5.0000077e+05	 7.0148437e-01	 8.0859375e+01	
108	 5.0000015e+05	 7.0773437e-01	 7.7109375e+01	
109	 5.0000065e+05	 7.0273437e-01	 6.2109375e+01	
110	 5.0000040e+05	 7.0023437e-01	 8.4609375e+01	
111	 5.0000090e+05	 7.0523437e-01	 6.9609375e+01	
112	 5.0000009e+05	 7.0585937e-01	 8.2734375e+01	
113	 5.0000059e+05	 7.0085937e-01	 6.7734375e+01	
114	 5.0000034e+05	 7.0335938e-01	 7.5234375e+01	
115	 5.0000084e+05	 7.0835938e-01	 6.0234375e+01	
116	 5.0000021e+05	 7.0210937e-01	 6.3984375e+01	
117	 5.0000071e+05	 7.0710937e-01	 7.8984375e+01	
118	 5.0000046e+05	 7.0960937e-01	 7.1484375e+01	
119	 5.0000096e+05	 7.0460937e-01	 8.6484375e+01	
120	 5.0000005e+05	 7.0929687e-01	 6.3046875e+01	
121	 5.0000055e+05	 7.0429687e-01	 7.8046875e+01	
122	 5.0000030e+05	 7.0179687e-01	 7.0546875e+01	
123	 5.0000080e+05	 7.0679687e-01	 8.5546875e+01	
124	 5.0000018e+05	 7.0304687e-01	 8.9296875e+01	
125	 5.0000068e+05	 7.0804687e-01	 7.4296875e+01	
126	 5.0000043e+05	 7.0554687e-01	 8.1796875e+01	
127	 5.0000093e+05	 7.0054687e-01	 6.6796875e+01	
128	 5.0000012e+05	 7.0117188e-01	 7.9921875e+01	
129	 5.0000062e+05	 7.0617188e-01	 6.4921875e+01	
130	 5.0000037e+05	 7.0867187e-01	 8.7421875e+01	
131	 5.0000087e+05	 7.0367187e-01	 7.2421875e+01	
132	 5.0000024e+05	 7.0742187e-01	 6.8671875e+01	
133	 5.0000074e+05	 7.0242187e-01	 8.3671875e+01	
134	 5.0000049e+05	 7.0492187e-01	 6.1171875e+01	
135	 5.0000099e+05	 7.0992187e-01	 7.6171875e+01	
136	 5.0000000e+05	 7.0996094e-01	 6.9257812e+01	
137	 5.0000050e+05	 7.0496094e-01	 8.4257812e+01	
138	 5.0000025e+05	 7.0246094e-01	 6.1757812e+01	
139	 5.0000075e+05	 7.0746094e-01	 7.6757812e+01	
140	 5.0000013e+05	 7.0371094e-01	 8.0507812e+01	
141	 5.0000063e+05	 7.0871094e-01	 6.5507812e+01	
142	 5.0000038e+05	 7.0621094e-01	 8.8007812e+01	
143	 5.0000088e+05	 7.0121094e-01	 7.3007812e+01	
144	 5.0000007e+05	 7.0058594e-01	 8.9882812e+01	
145	 5.0000057e+05	 7.0558594e-01	 7.4882812e+01	
146	 5.0000032e+05	 7.0808594e-01	 8.2382812e+01	
147	 5.0000082e+05	 7.0308594e-01	 6.7382812e+01	
148	 5.0000019e+05	 7.0683594e-01	 6.3632812e+01	
149	 5.0000069e+05	 7.0183594e-01	 7.8632812e+01	
150	 5.0000044e+05	 7.0433594e-01	 7.1132812e+01	
151	 5.0000094e+05	 7.0933594e-01	 8.6132812e+01	
152	 5.0000004e+05	 7.0464844e-01	 6.4570312e+01	
153	 5.0000054e+05	 7.0964844e-01	 7.9570312e+01	
154	 5.0000029e+05	 7.0714844e-01	 7.2070312e+01	
155	 5.0000079e+05	 7.0214844e-01	 8.7070312e+01	
156	 5.0000016e+05	 7.0839844e-01	 8.3320312e+01	
157	 5.0000066e+05	 7.0339844e-01	 6.8320312e+01	
158	 5.0000041e+05	 7.0089844e-01	 7.5820312e+01	
159	 5.0000091e+05	 7.0589844e-01	 6.0820312e+01	
160	 5.0000010e+05	 7.0527344e-01	 7.7695312e+01	
161	 5.0000060e+05	 7.0027344e-01	 6.2695312e+01	
162	 5.0000035e+05	 7.0277344e-01	 8.5195312e+01	
163	 5.0000085e+05	 7.0777344e-01	 7.0195312e+01	
164	 5.0000022e+05	 7.0152344e-01	 7.3945312e+01	
165	 5.0000072e+05	 7.0652344e-01	 8.8945312e+01	
166	 5.0000047e+05	 7.0902344e-01	 6.6445312e+01	
167	 5.0000097e+05	 7.0402344e-01	 8.1445312e+01	
168	 5.0000002e+05	 7.0199219e-01	 8.1914062e+01	
169	 5.0000052e+05	 7.0699219e-01	 6.6914062e+01	
170	 5.0000027e+05	 7.0949219e-01	 8.9414062e+01	
171	 5.0000077e+05	 7.0449219e-01	 7.4414062e+01	
172	 5.0000014e+05	 7.0574219e-01	 7.0664062e+01	
173	 5.0000064e+05	 7.0074219e-01	 8.5664062e+01	
174	 5.0000039e+05	 7.0324219e-01	 6.3164062e+01	
